Epoch	Train_Loss	Val_Loss	Elapsed_s	World_Size
------------------------------
1	1.955639	0.970627	961	4
2	0.854533	0.751584	1922	4
3	0.703096	0.672944	2888	4
4	0.629059	0.635312	3852	4
5	0.583727	0.613212	4821	4
6	0.544515	0.589319	5790	4
7	0.498908	0.566654	6760	4
8	0.462060	0.559143	7728	4
9	0.427854	0.553321	8696	4
10	0.395919	0.551941	9661	4
11	0.374817	0.557175	10628	4
12	0.347448	0.554444	11586	4
13	0.327984	0.554293	12546	4
14	0.299212	0.563450	13508	4
15	0.274784	0.575273	14469	4
